Number,URL,Title,Author,Author1,Rating
1,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,," 4.45 avg rating — 2,046,589 ratings"
2,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,," 4.60 avg rating — 112,416 ratings"
3,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,(Goodreads Author)," 4.52 avg rating — 739,173 ratings"
4,https://www.goodreads.com/book/show/7235533-the-way-of-kings,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,(Goodreads Author)," 4.62 avg rating — 319,532 ratings"
5,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,," 4.26 avg rating — 532,799 ratings"
6,https://www.goodreads.com/book/show/228665.The_Eye_of_the_World,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,," 4.17 avg rating — 402,482 ratings"
7,https://www.goodreads.com/book/show/68428.The_Final_Empire,"The Final Empire (Mistborn, #1)",Brandon Sanderson,(Goodreads Author)," 4.44 avg rating — 419,248 ratings"
8,https://www.goodreads.com/book/show/18116.His_Dark_Materials,His Dark Materials (His Dark Materials #1-3),Philip Pullman,," 4.25 avg rating — 147,371 ratings"
9,https://www.goodreads.com/book/show/113436.Eragon,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,(Goodreads Author)," 3.91 avg rating — 1,469,944 ratings"
10,https://www.goodreads.com/book/show/77197.Assassin_s_Apprentice,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,(Goodreads Author)," 4.15 avg rating — 241,976 ratings"
11,https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,(Goodreads Author)," 4.26 avg rating — 232,675 ratings"
12,https://www.goodreads.com/book/show/43615.The_Gunslinger,The Gunslinger,Stephen King,(Goodreads Author)," 3.94 avg rating — 525,274 ratings"
13,https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,," 4.12 avg rating — 232,648 ratings"
14,https://www.goodreads.com/book/show/944073.The_Blade_Itself,"The Blade Itself (The First Law, #1)",Joe Abercrombie,," 4.16 avg rating — 171,084 ratings"
15,https://www.goodreads.com/book/show/7332.The_Silmarillion,The Silmarillion,J.R.R. Tolkien,," 3.93 avg rating — 225,861 ratings"
16,https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon,"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,(Goodreads Author)," 3.88 avg rating — 94,029 ratings"
17,https://www.goodreads.com/book/show/21787.The_Princess_Bride,The Princess Bride,William Goldman,," 4.25 avg rating — 793,819 ratings"
18,https://www.goodreads.com/book/show/44660.The_Belgariad_Boxed_Set,"The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game (The Belgariad, #1-5)",David Eddings,," 4.27 avg rating — 14,516 ratings"
19,https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,," 3.99 avg rating — 248,788 ratings"
20,https://www.goodreads.com/book/show/13812.Magician,"Magician: Apprentice (The Riftwar Saga, #1)",Raymond E. Feist,," 4.14 avg rating — 86,712 ratings"
21,https://www.goodreads.com/book/show/40605251-the-mists-of-avalon,"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,," 4.11 avg rating — 195,281 ratings"
22,https://www.goodreads.com/book/show/518848.Sabriel,"Sabriel (Abhorsen,  #1)",Garth Nix,(Goodreads Author)," 4.14 avg rating — 190,765 ratings"
23,https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,(Goodreads Author)," 4.55 avg rating — 440,780 ratings"
24,https://www.goodreads.com/book/show/6122735-the-night-angel-trilogy,"The Night Angel Trilogy (Night Angel, #1-3)",Brent Weeks,(Goodreads Author)," 4.42 avg rating — 23,889 ratings"
25,https://www.goodreads.com/book/show/9579634-prince-of-thorns,"Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence,(Goodreads Author)," 3.85 avg rating — 98,039 ratings"
26,https://www.goodreads.com/book/show/61942.The_Dragonriders_of_Pern,"The Dragonriders of Pern (Dragonriders of Pern, #1-3)",Anne McCaffrey,," 4.24 avg rating — 27,361 ratings"
27,https://www.goodreads.com/book/show/3428935-the-warded-man,"The Warded Man (Demon Cycle, #1)",Peter V. Brett,(Goodreads Author)," 4.23 avg rating — 111,917 ratings"
28,https://www.goodreads.com/book/show/3236307-graceling,"Graceling (Graceling Realm, #1)",Kristin Cashore,," 4.07 avg rating — 395,626 ratings"
29,https://www.goodreads.com/book/show/34497.The_Color_of_Magic,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,," 3.99 avg rating — 323,861 ratings"
30,https://www.goodreads.com/book/show/12067.Good_Omens,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,," 4.24 avg rating — 561,108 ratings"
31,https://www.goodreads.com/book/show/153008.Kushiel_s_Dart,"Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey,(Goodreads Author)," 3.99 avg rating — 75,035 ratings"
32,https://www.goodreads.com/book/show/7996.Redwall,"Redwall (Redwall, #1)",Brian Jacques,," 4.10 avg rating — 107,730 ratings"
33,https://www.goodreads.com/book/show/17332218-words-of-radiance,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,(Goodreads Author)," 4.74 avg rating — 218,117 ratings"
34,https://www.goodreads.com/book/show/68380.Dragonlance_Chronicles,Dragonlance Chronicles (Dragonlance #1-3),Margaret Weis,(Goodreads Author)," 4.23 avg rating — 19,533 ratings"
35,https://www.goodreads.com/book/show/29396.Furies_of_Calderon,"Furies of Calderon (Codex Alera, #1)",Jim Butcher,(Goodreads Author)," 4.11 avg rating — 99,387 ratings"
