,name,author,number of ratings,url,avg_rat
0,"  A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"2,047,239",https://www.goodreads.com//book/show/13496.A_Game_of_Thrones,4.45
1,  J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"112,440",https://www.goodreads.com//book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,4.60
2,"  The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss (Goodreads Author),"739,468",https://www.goodreads.com//book/show/186074.The_Name_of_the_Wind,4.52
3,"  The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson (Goodreads Author),"319,738",https://www.goodreads.com//book/show/7235533-the-way-of-kings,4.62
4,"  The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"532,960",https://www.goodreads.com//book/show/11127.The_Chronicles_of_Narnia,4.26
5,"  The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"402,605",https://www.goodreads.com//book/show/228665.The_Eye_of_the_World,4.17
6,"  The Final Empire (Mistborn, #1)",Brandon Sanderson (Goodreads Author),"419,498",https://www.goodreads.com//book/show/68428.The_Final_Empire,4.44
7,  His Dark Materials (His Dark Materials #1-3),Philip Pullman,"147,401",https://www.goodreads.com//book/show/18116.His_Dark_Materials,4.25
8,"  Eragon (The Inheritance Cycle, #1)",Christopher Paolini (Goodreads Author),"1,470,404",https://www.goodreads.com//book/show/113436.Eragon,3.91
9,"  Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb (Goodreads Author),"242,048",https://www.goodreads.com//book/show/77197.Assassin_s_Apprentice,4.15
10,"  The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch (Goodreads Author),"232,760",https://www.goodreads.com//book/show/29588376-the-lies-of-locke-lamora,4.26
11,  The Gunslinger,Stephen King (Goodreads Author),"525,406",https://www.goodreads.com//book/show/43615.The_Gunslinger,3.94
12,"  Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,"232,665",https://www.goodreads.com//book/show/43889.Wizard_s_First_Rule,4.12
13,"  The Blade Itself (The First Law, #1)",Joe Abercrombie,"171,153",https://www.goodreads.com//book/show/944073.The_Blade_Itself,4.16
14,  The Silmarillion,J.R.R. Tolkien,"225,922",https://www.goodreads.com//book/show/7332.The_Silmarillion,3.93
15,"  Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson (Goodreads Author),"94,080",https://www.goodreads.com//book/show/55399.Gardens_of_the_Moon,3.88
16,  The Princess Bride,William Goldman,"793,970",https://www.goodreads.com//book/show/21787.The_Princess_Bride,4.25
17,"  The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game (The Belgariad, #1-5)",David Eddings,"14,516",https://www.goodreads.com//book/show/44660.The_Belgariad_Boxed_Set,4.27
18,"  A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"248,868",https://www.goodreads.com//book/show/13642.A_Wizard_of_Earthsea,3.99
19,"  Magician: Apprentice (The Riftwar Saga, #1)",Raymond E. Feist,"86,725",https://www.goodreads.com//book/show/13812.Magician,4.14
20,"  The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,"195,307",https://www.goodreads.com//book/show/40605251-the-mists-of-avalon,4.11
21,"  Sabriel (Abhorsen,  #1)",Garth Nix (Goodreads Author),"190,797",https://www.goodreads.com//book/show/518848.Sabriel,4.14
22,"  The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss (Goodreads Author),"440,939",https://www.goodreads.com//book/show/1215032.The_Wise_Man_s_Fear,4.55
23,"  The Night Angel Trilogy (Night Angel, #1-3)",Brent Weeks (Goodreads Author),"23,892",https://www.goodreads.com//book/show/6122735-the-night-angel-trilogy,4.42
24,"  Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence (Goodreads Author),"98,061",https://www.goodreads.com//book/show/9579634-prince-of-thorns,3.85
25,"  The Dragonriders of Pern (Dragonriders of Pern, #1-3)",Anne McCaffrey,"27,363",https://www.goodreads.com//book/show/61942.The_Dragonriders_of_Pern,4.24
26,"  The Warded Man (Demon Cycle, #1)",Peter V. Brett (Goodreads Author),"111,936",https://www.goodreads.com//book/show/3428935-the-warded-man,4.23
27,"  Graceling (Graceling Realm, #1)",Kristin Cashore,"395,719",https://www.goodreads.com//book/show/3236307-graceling,4.07
28,"  The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"323,941",https://www.goodreads.com//book/show/34497.The_Color_of_Magic,3.99
29,"  Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"561,353",https://www.goodreads.com//book/show/12067.Good_Omens,4.24
30,"  Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey (Goodreads Author),"75,058",https://www.goodreads.com//book/show/153008.Kushiel_s_Dart,3.99
31,"  Redwall (Redwall, #1)",Brian Jacques,"107,762",https://www.goodreads.com//book/show/7996.Redwall,4.10
32,"  Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson (Goodreads Author),"218,258",https://www.goodreads.com//book/show/17332218-words-of-radiance,4.74
