Num_pages,Awards,Genre,Publishdate
392 pages,['RITA Award by Romance Writers of America Nominee for Paranormal Romance (2007)'],"['Fantasy', 'Young Adult', 'Fantasy', 'Magic', 'Romance', 'Fiction', 'Adventure', 'Fantasy', 'High Fantasy', 'Fantasy', 'Paranormal', 'Young Adult', 'Young Adult Fantasy', 'Adult']",[]
Movie Tie-In,"['Newbery Medal (1963)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1964)"", 'Oklahoma Sequoyah Award (1965)', 'Margaret A. Edwards Award (1998)']","['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Childrens', 'Middle Grade', 'Science Fiction', 'Time Travel', 'Adventure', 'Science Fiction Fantasy']",['\n              (first published 1962)\n            ']
286 pages,"['Locus Award Nominee for Best Single Author Collection (1979)', 'World Fantasy Award Nominee for Best Anthology/Collection (1979)', 'Balrog Award Nominee for Best Short Fiction for ""Undertow"" (1979)']","['Fantasy', 'Heroic Fantasy', 'Sword and Sorcery', 'Fiction', 'Horror', 'Short Stories', 'Fantasy', 'Dark Fantasy', 'Gothic', 'Science Fiction Fantasy', 'Speculative Fiction', 'Anthologies']",['\n              (first published August 1978)\n            ']
608 pages,[],"['Fantasy', 'Fiction', 'Science Fiction', 'Science Fiction Fantasy', 'Fantasy', 'Epic Fantasy', 'Adventure', 'Adult', 'Epic', 'Fantasy', 'Dragons', 'War']",['\n              (first published 2009)\n            ']
707 pages,[],"['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Fantasy', 'Epic Fantasy', 'Science Fiction', 'Time Travel', 'Heroic Fantasy', 'Sword and Sorcery', 'Speculative Fiction', 'Fantasy', 'High Fantasy', 'Adult']",['\n              (first published January 1st 1979)\n            ']
288 pages,['Hugo Award Nominee for Best Novel (1963)'],"['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Classics', 'Fantasy', 'Magic', 'Speculative Fiction', 'Adventure', 'Paranormal', 'Witches', 'Fantasy', 'High Fantasy']",['\n              (first published 1963)\n            ']
323 pages,"['Locus Award Nominee for Best First Novel (2018)', 'Goodreads Choice Award Nominee for Fantasy & for Debut Goodreads Author (2017)', 'HWA Debut Crown Nominee for Longlist (2017)', 'BookNest Award Nominee for Best Debut Novel (2017)']","['Fantasy', 'Historical', 'Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Fantasy', 'Fairy Tales', 'Fantasy', 'Mythology', 'Cultural', 'Russia', 'Audiobook', 'Adult']",[]
592 pages,[],"['Fantasy', 'Fiction', 'Adult', 'Fantasy', 'High Fantasy', 'Fantasy', 'Epic Fantasy', 'Audiobook', 'Fantasy', 'Magic', 'Science Fiction Fantasy', 'Novels', 'Epic']",['\n              (first published 2011)\n            ']
First American Edition,"['Locus Award Nominee for Best Young Adult Novel (2008)', 'Odyssey Award Nominee (2008)', 'Audie Award (2008)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Puddly Award for Fiction (2008)', 'Andre Norton Award (2007)', 'Carnegie Medal Nominee (2008)']","['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Childrens', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",[]
208 pages,['Mythopoeic Fantasy Award Nominee (1987)'],"['Fantasy', 'Fiction', 'Fantasy', 'High Fantasy', 'Fantasy', 'Dark Fantasy', 'Sci Fi Fantasy', 'Science Fiction', 'Adult', 'Romance', 'Science Fiction Fantasy', 'Fantasy', 'Fairy Tales']",['\n              (first published 1981)\n            ']
